place,beer,usr,date,rating,style,s_name
148,22386,621888,2015-12-02,2.82,68,Robert Burns Scottish Ale
148,22386,1035603,2015-09-05,4.25,68,Robert Burns Scottish Ale
148,22386,948749,2015-08-12,3.75,68,Robert Burns Scottish Ale
148,22386,492136,2015-07-17,3.37,68,Robert Burns Scottish Ale
148,22386,406749,2015-06-11,3.51,68,Robert Burns Scottish Ale
148,22386,199175,2015-04-14,3.32,68,Robert Burns Scottish Ale
148,22386,938538,2015-02-03,4.04,68,Robert Burns Scottish Ale
148,22386,901754,2014-12-03,3.5,68,Robert Burns Scottish Ale
148,22386,886150,2014-11-02,3.0,68,Robert Burns Scottish Ale
148,22386,851763,2014-09-25,3.25,68,Robert Burns Scottish Ale
148,22386,818255,2014-07-03,4.25,68,Robert Burns Scottish Ale
148,22386,789520,2014-03-21,2.75,68,Robert Burns Scottish Ale
148,22386,780659,2014-02-09,3.5,68,Robert Burns Scottish Ale
148,22386,90923,2013-11-27,3.47,68,Robert Burns Scottish Ale
148,22386,760280,2013-11-07,3.5,68,Robert Burns Scottish Ale
148,22386,657809,2012-04-19,2.5,68,Robert Burns Scottish Ale
148,22386,249879,2012-01-08,3.03,68,Robert Burns Scottish Ale
148,22386,511761,2011-10-02,2.44,68,Robert Burns Scottish Ale
5171,23128,185832,2010-09-07,3.97,84,Temptation
5171,23128,32985,2009-11-30,4.06,84,Temptation
5171,23128,38771,2008-01-27,4.0,84,Temptation
5171,23128,111074,2007-10-02,4.17,84,Temptation
5171,23128,323,2007-06-24,3.53,84,Temptation
5171,23128,16869,2006-08-24,4.28,84,Temptation
5171,23128,4417,2005-08-27,4.03,84,Temptation
5171,23128,3615,2005-04-13,3.95,84,Temptation
5171,23128,524986,2018-06-23,4.13,84,Temptation
5171,23128,231766,2017-04-08,4.0,84,Temptation
5171,23128,989618,2016-12-28,4.08,84,Temptation
5171,23128,1107347,2016-09-01,3.83,84,Temptation
5171,23128,830313,2015-08-16,3.68,84,Temptation
5171,23128,692797,2014-07-06,4.5,84,Temptation
5171,23128,780840,2014-02-10,4.25,84,Temptation
5171,23128,779952,2014-02-03,4.5,84,Temptation
5171,23128,759724,2013-12-03,5.0,84,Temptation
5171,23128,753067,2013-11-17,3.5,84,Temptation
5171,23128,763998,2013-11-13,3.75,84,Temptation
5171,23128,247470,2013-06-16,3.91,84,Temptation
5171,23128,308814,2012-12-22,4.25,84,Temptation
5171,23128,659505,2012-11-04,4.02,84,Temptation
5171,23128,3853,2012-11-02,3.28,84,Temptation
5171,23128,653977,2012-02-08,4.0,84,Temptation
5171,23128,247968,2011-12-17,2.03,84,Temptation
5171,23128,734,2011-09-26,4.55,84,Temptation
5171,23128,491647,2011-09-23,4.3,84,Temptation
5171,23128,10662,2011-08-12,3.73,84,Temptation
5171,23128,393082,2011-07-24,3.74,84,Temptation
5171,23128,297617,2011-06-24,3.99,84,Temptation
5171,23128,168458,2011-06-22,4.05,84,Temptation
5171,23128,245844,2011-01-02,3.38,84,Temptation
5171,23128,343988,2010-12-17,4.05,84,Temptation
26623,207065,697302,2017-03-17,3.5,159,Common Grounds
26623,207065,987956,2017-03-03,3.75,159,Common Grounds
26623,207065,992772,2017-02-26,4.16,159,Common Grounds
26623,207065,163714,2017-01-21,4.25,159,Common Grounds
26623,207065,979834,2016-12-26,4.1,159,Common Grounds
26623,207065,994153,2016-12-13,3.95,159,Common Grounds
26623,207065,810008,2016-12-11,3.71,159,Common Grounds
26623,207065,872698,2016-12-11,3.78,159,Common Grounds
26623,207065,1171132,2016-11-18,2.43,159,Common Grounds
26623,207065,1107347,2016-11-12,3.74,159,Common Grounds
26623,207065,691982,2016-11-09,4.0,159,Common Grounds
26623,207065,19527,2016-10-18,3.85,159,Common Grounds
26623,207065,1074920,2016-10-01,3.88,159,Common Grounds
26623,207065,728194,2016-09-12,3.99,159,Common Grounds
26623,207065,184925,2016-08-19,3.86,159,Common Grounds
26623,207065,212193,2016-07-05,3.85,159,Common Grounds
26623,207065,760280,2016-06-02,4.0,159,Common Grounds
26623,207065,557249,2016-04-11,3.85,159,Common Grounds
26623,207065,454782,2016-04-10,4.0,159,Common Grounds
26623,207065,681220,2016-04-09,4.27,159,Common Grounds
26623,207065,773354,2016-03-21,3.5,159,Common Grounds
26623,207065,532838,2016-01-19,4.15,159,Common Grounds
26623,207065,621888,2015-12-24,3.85,159,Common Grounds
26623,207065,1035603,2018-11-09,3.75,159,Common Grounds
26623,207065,3853,2018-10-28,3.66,159,Common Grounds
26623,207065,971932,2018-06-05,3.81,159,Common Grounds
26623,207065,818094,2018-05-09,3.52,159,Common Grounds
26623,207065,694788,2018-03-31,4.07,159,Common Grounds
26623,207065,657368,2018-03-14,3.85,159,Common Grounds
26623,207065,1228066,2018-03-11,2.36,159,Common Grounds
26623,207065,1056979,2018-01-23,4.25,159,Common Grounds
26623,207065,1213422,2017-12-09,3.1,159,Common Grounds
26623,207065,1141617,2017-12-08,3.32,159,Common Grounds
26623,207065,677503,2017-10-03,3.79,159,Common Grounds
26623,207065,106034,2017-10-02,3.0,159,Common Grounds
26623,207065,1210642,2017-09-26,3.72,159,Common Grounds
26623,207065,935733,2017-08-30,3.67,159,Common Grounds
26623,207065,914481,2017-08-26,4.04,159,Common Grounds
26623,207065,571365,2017-08-22,3.75,159,Common Grounds
26623,207065,14451,2017-07-25,3.59,159,Common Grounds
26623,207065,789167,2017-07-14,3.51,159,Common Grounds
26623,207065,1080607,2017-07-10,3.16,159,Common Grounds
26623,207065,910596,2017-07-03,1.44,159,Common Grounds
26623,207065,708259,2017-06-30,3.35,159,Common Grounds
26623,207065,406749,2017-06-24,3.74,159,Common Grounds
26623,207065,524986,2017-06-15,3.84,159,Common Grounds
26623,207065,640726,2017-03-31,3.52,159,Common Grounds
26623,207065,868336,2017-03-17,3.48,159,Common Grounds
12272,36547,90923,2007-04-28,3.62,101,Postman's Knock No. 3
12272,36547,688307,2018-02-10,3.63,101,Postman's Knock No. 3
12272,36547,485127,2017-11-16,4.0,101,Postman's Knock No. 3
12272,36547,5708,2017-03-12,4.04,101,Postman's Knock No. 3
12272,36547,199175,2016-08-23,3.33,101,Postman's Knock No. 3
12272,36547,276070,2015-12-15,2.81,101,Postman's Knock No. 3
12272,36547,1037949,2015-12-02,3.5,101,Postman's Knock No. 3
12272,36547,629225,2015-09-26,4.1,101,Postman's Knock No. 3
12272,36547,231766,2015-06-30,4.0,101,Postman's Knock No. 3
12272,36547,799401,2015-05-31,4.0,101,Postman's Knock No. 3
12272,36547,637693,2015-05-31,3.75,101,Postman's Knock No. 3
12272,36547,857596,2015-05-10,4.25,101,Postman's Knock No. 3
12272,36547,180659,2015-03-16,3.75,101,Postman's Knock No. 3
12272,36547,697017,2014-09-24,3.75,101,Postman's Knock No. 3
12272,36547,531560,2014-06-27,3.75,101,Postman's Knock No. 3
12272,36547,177736,2014-05-16,3.63,101,Postman's Knock No. 3
12272,36547,95017,2014-05-16,3.67,101,Postman's Knock No. 3
12272,36547,689452,2014-05-01,3.75,101,Postman's Knock No. 3
12272,36547,796272,2014-04-24,3.5,101,Postman's Knock No. 3
12272,36547,561472,2013-09-04,3.75,101,Postman's Knock No. 3
12272,36547,738376,2013-09-02,3.6,101,Postman's Knock No. 3
